ISO 3166-1 numeric code,Continents,Region,Country,2021,2022
534,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),42,42
780,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,1379,1381
796,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,37,38
850,Latin America and the Caribbean,Caribbean,United States Virgin Islands,105,105
84,Latin America and the Caribbean,Central America,Belize,406,414
188,Latin America and the Caribbean,Central America,Costa Rica,5088,5130
222,Latin America and the Caribbean,Central America,El Salvador,6512,6545
320,Latin America and the Caribbean,Central America,Guatemala,18244,18577
340,Latin America and the Caribbean,Central America,Honduras,9869,10017
484,Latin America and the Caribbean,Central America,Mexico,135384,136869
558,Latin America and the Caribbean,Central America,Nicaragua,6481,6544
591,Latin America and the Caribbean,Central America,Panama,4352,4414
32,Latin America and the Caribbean,South America,Argentina,45914,46313
68,Latin America and the Caribbean,South America,Bolivia (Plurinational State of),11708,11872
76,Latin America and the Caribbean,South America,Brazil,215278,216636
152,Latin America and the Caribbean,South America,Chile,18605,18734
170,Latin America and the Caribbean,South America,Colombia,50576,50917
218,Latin America and the Caribbean,South America,Ecuador,17569,17800
238,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),3,3
254,Latin America and the Caribbean,South America,French Guiana,311,318
328,Latin America and the Caribbean,South America,Guyana,795,799
600,Latin America and the Caribbean,South America,Paraguay,7150,7232
604,Latin America and the Caribbean,South America,Peru,33686,34055
740,Latin America and the Caribbean,South America,Suriname,582,587
858,Latin America and the Caribbean,South America,Uruguay,3506,3517
862,Latin America and the Caribbean,South America,Venezuela (Bolivarian Republic of),33558,33938
60,Northern America,Northern America,Bermuda,60,60
124,Northern America,Northern America,Canada,37924,38242
304,Northern America,Northern America,Greenland,57,57
666,Northern America,Northern America,Saint Pierre and Miquelon,6,7
840,Northern America,Northern America,United States of America,333783,336150
36,Oceania,Australia/New Zealand,Australia,25700,25996
554,Oceania,Australia/New Zealand,New Zealand,4876,4916
242,Oceania,Melanesia,Fiji,931,936
540,Oceania,Melanesia,New Caledonia,290,294
598,Oceania,Melanesia,Papua New Guinea,8926,9097
90,Oceania,Melanesia,Solomon Islands,659,672
548,Oceania,Melanesia,Vanuatu,300,306
316,Oceania,Micronesia,Guam,170,171
296,Oceania,Micronesia,Kiribati,124,126
584,Oceania,Micronesia,Marshall Islands,53,53
583,Oceania,Micronesia,Micronesia (Fed. States of),109,109
520,Oceania,Micronesia,Nauru,11,11
580,Oceania,Micronesia,Northern Mariana Islands,55,56
585,Oceania,Micronesia,Palau,23,23
16,Oceania,Polynesia,American Samoa,56,56
184,Oceania,Polynesia,Cook Islands,18,18
258,Oceania,Polynesia,French Polynesia,292,294
570,Oceania,Polynesia,Niue,2,2
882,Oceania,Polynesia,Samoa,201,203
772,Oceania,Polynesia,Tokelau,1,1
776,Oceania,Polynesia,Tonga,112,113
798,Oceania,Polynesia,Tuvalu,12,12
876,Oceania,Polynesia,Wallis and Futuna Islands,11,11
